UniProt	Predikcija
P48347	GO:0005739
P42644	GO:0005739
P42645	GO:0005739
P62259	GO:0005739
P63101	GO:0005739
P63102	GO:0005739
Q9LVE2	GO:0005739
Q9XGR4	GO:0005739
P36877	GO:0005739
P14060	GO:0005739
P24815	GO:0005739
P22071	GO:0005739
P26150	GO:0005739
Q61767	GO:0005739
Q61694	GO:0005739
Q91Y80	GO:0005739
P46953	GO:0005739
Q9V8M5	GO:0005739
P31937	GO:0005739
Q99L13	GO:0005739
Q9D020	GO:0005739
P14790	GO:0005739
P56379	GO:0005739
D3Z9R8	GO:0005739
Q9FFR3	GO:0005739
P36639	GO:0005739
P91927	GO:0005739
Q8N5Z0	GO:0005739
Q9WVM8	GO:0005739
Q64602	GO:0005739
Q8H151	GO:0005739
Q9UDR5	GO:0005739
Q99K67	GO:0005739
P46643	GO:0005739
P00508	GO:0005739
P00505	GO:0005739
P05202	GO:0005739
P00507	GO:0005739
Q9SGY1	GO:0005739
Q9FUT3	GO:0005739
Q9M0G9	GO:0005739
Q9LVM1	GO:0005739
Q9XIE2	GO:0005739
Q8K440	GO:0005739
Q8K449	GO:0005739
Q9NP58	GO:0005739
Q9DC29	GO:0005739
O70595	GO:0005739
O75027	GO:0005739
Q61102	GO:0005739
Q9NUT2	GO:0005739
Q9CXJ4	GO:0005739
Q9NRK6	GO:0005739
Q9JI39	GO:0005739
Q63563	GO:0005739
P48410	GO:0005739
Q61285	GO:0005739
P55096	GO:0005739
P16970	GO:0005739
P61221	GO:0005739
Q9UG63	GO:0005739
Q99LE6	GO:0005739
P45844	GO:0005739
Q92338	GO:0005739
Q02486	GO:0005739
Q8R2Y0	GO:0005739
Q9NUJ1	GO:0005739
Q6PE15	GO:0005739
Q8K4F5	GO:0005739
Q5SWU9	GO:0005739
O00763	GO:0005739
E9Q4Z2	GO:0005739
Q9UKU7	GO:0005739
Q9D7B6	GO:0005739
Q9H845	GO:0005739
Q8JZN5	GO:0005739
P28330	GO:0005739
P51174	GO:0005739
P15650	GO:0005739
Q22347	GO:0005739
Q9VSA3	GO:0005739
P11310	GO:0005739
P45952	GO:0005739
P08503	GO:0005739
P16219	GO:0005739
Q07417	GO:0005739
P15651	GO:0005739
P49748	GO:0005739
P50544	GO:0005739
P45953	GO:0005739
Q5FVE4	GO:0005739
P31786	GO:0005739
Q6JQN1	GO:0005739
Q8K370	GO:0005739
Q709F0	GO:0005739
Q80XL6	GO:0005739
P45954	GO:0005739
Q9DBL1	GO:0005739
P70584	GO:0005739
Q12031	GO:0005739
Q9UUJ9	GO:0005739
P32316	GO:0005739
Q91V92	GO:0005739
Q32MW3	GO:0005739
Q9CQR4	GO:0005739
Q8N1Q8	GO:0005739
Q9CQJ0	GO:0005739
Q42560	GO:0005739
Q9SIB9	GO:0005739
Q94A28	GO:0005739
P21399	GO:0005739
P28271	GO:0005739
Q9P7D4	GO:0005739
P34455	GO:0005739
Q99798	GO:0005739
Q99KI0	GO:0005739
Q9ER34	GO:0005739
O13966	GO:0005739
P19414	GO:0005739
O55137	GO:0005739
P49753	GO:0005739
Q9QYR9	GO:0005739
O55171	GO:0005739
P58137	GO:0005739
Q9Y305	GO:0005739
Q9R0X4	GO:0005739
Q9R0H0	GO:0005739
Q99424	GO:0005739
Q9EPL9	GO:0005739
P53665	GO:0005739
O80800	GO:0005739
P52505	GO:0005739
O14561	GO:0005739
Q9CR21	GO:0005739
Q10217	GO:0005739
Q68CK6	GO:0005739
Q9NUB1	GO:0005739
Q99NB1	GO:0005739
Q96CM8	GO:0005739
Q8VCW8	GO:0005739
Q4G176	GO:0005739
Q3URE1	GO:0005739
P33121	GO:0005739
P41216	GO:0005739
P18163	GO:0005739
Q9QUJ7	GO:0005739
O35547	GO:0005739
Q9ULC5	GO:0005739
Q8JZR0	GO:0005739
O88813	GO:0005739
Q91WC3	GO:0005739
Q08AH1	GO:0005739
Q91VA0	GO:0005739
Q8K0L3	GO:0005739
Q3UNX5	GO:0005739
Q80W40	GO:0005739
Q7TN78	GO:0005739
Q14DH7	GO:0005739
P53496	GO:0005739
P53497	GO:0005739
P53494	GO:0005739
P53492	GO:0005739
P56375	GO:0005739
O43184	GO:0005739
Q9JK15	GO:0005739
O00116	GO:0005739
Q8C0I1	GO:0005739
Q9EQR2	GO:0005739
Q9D0L4	GO:0005739
Q6NSR3	GO:0005739
Q8NI60	GO:0005739
Q60936	GO:0005739
Q566J8	GO:0005739
Q80V03	GO:0005739
Q9ZSK4	GO:0005739
P00329	GO:0005739
P07246	GO:0005739
Q09669	GO:0005739
P10127	GO:0005739
P28474	GO:0005739
Q01976	GO:0005739
P08165	GO:0005739
Q9V3T9	GO:0005739
P22570	GO:0005739
Q61578	GO:0005739
P56522	GO:0005739
O59710	GO:0005739
P48360	GO:0005739
Q12184	GO:0005739
P31167	GO:0005739
P12235	GO:0005739
P48962	GO:0005739
Q05962	GO:0005739
P04710	GO:0005739
P40941	GO:0005739
P05141	GO:0005739
P51881	GO:0005739
Q09073	GO:0005739
P18239	GO:0005739
O49447	GO:0005739
P12236	GO:0005739
Q9H0C2	GO:0005739
Q3V132	GO:0005739
Q26365	GO:0005739
Q09188	GO:0005739
Q6P4F2	GO:0005739
Q9CPW2	GO:0005739
P00257	GO:0005739
P10109	GO:0005739
P46656	GO:0005739
P24483	GO:0005739
Q6PDY2	GO:0005739
P22136	GO:0005739
Q12089	GO:0005739
