CAFA	Predikcija	Skor	UniProt	Uniprot1	UniProt2
T96060000034	GO:0005739	fp	P30462	1B14_HUMAN	1B14_HUMAN
T96060000036	GO:0005739	fp	P30466	1B18_HUMAN	1B18_HUMAN
T96060000037	GO:0005739	fp	P03989	1B27_HUMAN	1B27_HUMAN
T96060000039	GO:0005739	fp	P18463	1B37_HUMAN	1B37_HUMAN
T96060000041	GO:0005739	fp	P30475	1B39_HUMAN	1B39_HUMAN
T96060000046	GO:0005739	fp	P30483	1B45_HUMAN	1B45_HUMAN
T96060000051	GO:0005739	fp	P30488	1B50_HUMAN	1B50_HUMAN
T96060000055	GO:0005739	fp	P30492	1B54_HUMAN	1B54_HUMAN
T96060000056	GO:0005739	fp	P30493	1B55_HUMAN	1B55_HUMAN
T96060000057	GO:0005739	fp	P30495	1B56_HUMAN	1B56_HUMAN
T96060000060	GO:0005739	fp	Q29940	1B59_HUMAN	1B59_HUMAN
T96060000061	GO:0005739	fp	Q29836	1B67_HUMAN	1B67_HUMAN
T96060000063	GO:0005739	fp	P30498	1B78_HUMAN	1B78_HUMAN
T96060000065	GO:0005739	fp	Q29718	1B82_HUMAN	1B82_HUMAN
T96060000074	GO:0005739	fp	P30508	1C12_HUMAN	1C12_HUMAN
T96060000075	GO:0005739	fp	P30510	1C14_HUMAN	1C14_HUMAN
T96060000077	GO:0005739	fp	Q29960	1C16_HUMAN	1C16_HUMAN
T96060000098	GO:0005739	fp	P20039	2B1B_HUMAN	2B1B_HUMAN
T96060000109	GO:0005739	fp	Q7L8J4	3BP5L_HUMAN	3BP5L_HUMAN
T96060000117	GO:0005739	fp	O60516	4EBP3_HUMAN	4EBP3_HUMAN
T96060000124	GO:0005739	fp	P30939	5HT1F_HUMAN	5HT1F_HUMAN
T96060000125	GO:0005739	fp	P28223	5HT2A_HUMAN	5HT2A_HUMAN
T96060000129	GO:0005739	fp	O95264	5HT3B_HUMAN	5HT3B_HUMAN
T96060000162	GO:0005739	fp	Q4UJ75	A20A4_HUMAN	A20A4_HUMAN
T96060000166	GO:0005739	fp	P02750	A2GL_HUMAN	A2GL_HUMAN
T96060000167	GO:0005739	fp	P01023	A2MG_HUMAN	A2MG_HUMAN
T96060000168	GO:0005739	fp	A8K2U0	A2ML1_HUMAN	A2ML1_HUMAN
T96060000171	GO:0005739	fp	Q5T5F5	A4AS1_HUMAN	A4AS1_HUMAN
T96060000172	GO:0005739	fp	Q9NPC4	A4GAT_HUMAN	A4GAT_HUMAN
T96060000173	GO:0005739	fp	Q9UNA3	A4GCT_HUMAN	A4GCT_HUMAN
T96060000176	GO:0005739	fp	P30542	AA1R_HUMAN	AA1R_HUMAN
T96060000181	GO:0005739	fp	P22760	AAAD_HUMAN	AAAD_HUMAN
T96060000187	GO:0005739	fp	Q7RTV5	AAED1_HUMAN	AAED1_HUMAN
T96060000199	GO:0005739	fp	Q9Y312	AAR2_HUMAN	AAR2_HUMAN
T96060000205	GO:0005739	fp	P17174	AATC_HUMAN	AATC_HUMAN
T96060000218	GO:0005739	fp	Q9HC16	ABC3G_HUMAN	ABC3G_HUMAN
T96060000239	GO:0005739	fp	O95342	ABCBB_HUMAN	ABCBB_HUMAN
T96060000261	GO:0005739	fp	Q8WW27	ABEC4_HUMAN	ABEC4_HUMAN
T96060000265	GO:0005739	fp	Q8WU67	ABHD3_HUMAN	ABHD3_HUMAN
T96060000268	GO:0005739	fp	Q9BV23	ABHD6_HUMAN	ABHD6_HUMAN
T96060000272	GO:0005739	fp	Q7L211	ABHDD_HUMAN	ABHDD_HUMAN
T96060000283	GO:0005739	fp	Q6H8Q1	ABLM2_HUMAN	ABLM2_HUMAN
T96060000307	GO:0005739	fp	Q96GR2	ACBG1_HUMAN	ACBG1_HUMAN
T96060000318	GO:0005739	fp	P22303	ACES_HUMAN	ACES_HUMAN
T96060000337	GO:0005739	fp	Q07912	ACK1_HUMAN	ACK1_HUMAN
T96060000339	GO:0005739	fp	O00590	ACKR2_HUMAN	ACKR2_HUMAN
T96060000344	GO:0005739	fp	O94805	ACL6B_HUMAN	ACL6B_HUMAN
T96060000349	GO:0005739	fp	P08172	ACM2_HUMAN	ACM2_HUMAN
T96060000354	GO:0005739	fp	Q8WXI4	ACO11_HUMAN	ACO11_HUMAN
T96060000383	GO:0005739	fp	Q4L235	ACSF4_HUMAN	ACSF4_HUMAN
T96060000395	GO:0005739	fp	P62736	ACTA_HUMAN	ACTA_HUMAN
T96060000408	GO:0005739	fp	O43707	ACTN4_HUMAN	ACTN4_HUMAN
T96060000418	GO:0005739	fp	Q04771	ACVR1_HUMAN	ACVR1_HUMAN
T96060000431	GO:0005739	fp	P35348	ADA1A_HUMAN	ADA1A_HUMAN
