From	To
A0A024R3B9	NP_001317308.1
A0A024RBT2	NP_001265232.1
A0A075B6P0	NP_001317511.1
A0A075B6P0	XP_016868520.1
A0A075B6P0	XP_016868521.1
A0A075B6P0	XP_016868522.1
A0A075B6T1	NP_001254712.1
A0A075B746	NP_061870.1
A0A075B746	NP_114107.1
A0A087WT18	NP_001274264.1
A0A087WT18	XP_011532897.1
A0A087WT18	XP_011532898.1
A0A087WT18	XP_016865140.1
A0A087WT64	NP_001184249.1
A0A087WTL4	NP_001257656.1
A0A087WTL4	XP_016884214.1
A0A087WTV6	NP_001258610.1
A0A087WU07	NP_001191011.1
A0A087WU62	NP_001265208.2
A0A087WUN7	NP_001254793.1
A0A087WV22	NP_001243509.2
A0A087WVM4	NP_001229697.1
A0A087WVQ6	NP_001275582.1
A0A087WVT9	NP_001273362.1
A0A087WW40	NP_001193580.1
A0A087WW65	NP_001258628.1
A0A087WW80	NP_001257664.1
A0A087WX97	NP_001257655.1
A0A087WX97	XP_011544421.1
A0A087WX97	XP_011544422.1
A0A087WXR5	NP_001269351.1
A0A087WXU0	NP_001258866.1
A0A087WYB4	NP_001273962.1
A0A087WYD0	NP_001186887.1
A0A087WYS9	NP_001267716.1
A0A087WYS9	XP_011517244.1
A0A087WZF8	NP_001275888.1
A0A087WZL8	NP_001258449.1
A0A087WZN1	NP_001317692.1
A0A087WZX2	NP_001186916.1
A0A087X004	NP_001267726.1
A0A087X004	NP_001267727.1
A0A087X004	XP_016874669.1
A0A087X090	NP_001229754.1
A0A087X0Z2	NP_001191756.1
A0A087X1G1	NP_001269348.1
A0A087X1K9	NP_001266289.1
A0A087X1K9	XP_016868448.1
A0A087X1K9	XP_016868449.1
A0A087X1N6	NP_001269365.1
A0A087X2D5	NP_115727.5
A0A087X2E5	NP_001245313.1
A0A0A0MQX2	NP_001273195.1
A0A0A0MR33	NP_665878.2
A0A0A0MR51	NP_037534.3
A0A0A0MR90	NP_001257661.1
A0A0A0MR90	XP_016884223.1
A0A0A0MRJ6	NP_001238982.1
A0A0A0MRJ6	NP_005380.2
A0A0A0MRK6	NP_002446.3
A0A0A0MRK6	NP_942584.2
A0A0A0MRP1	NP_689910.2
A0A0A0MRP1	XP_016856098.1
A0A0A0MRP1	XP_016856099.1
A0A0A0MRP1	XP_016856100.1
A0A0A0MS24	NP_001161329.1
A0A0A0MS24	NP_001161330.1
A0A0A0MS24	NP_001184060.1
A0A0A0MS24	NP_001317958.1
A0A0A0MS24	NP_002472.2
A0A0A0MS24	NP_115286.1
A0A0A0MS24	NP_115287.1
A0A0A0MS24	XP_016856841.1
A0A0A0MS24	XP_016856842.1
A0A0A0MS24	XP_016856843.1
A0A0A0MS29	NP_001263996.1
A0A0A0MS56	NP_001095940.1
A0A0A0MS74	NP_001018083.2
A0A0A0MSI5	NP_001270128.1
A0A0A0MSU4	NP_001275915.1
A0A0A0MSZ4	NP_001244942.2
A0A0A0MT16	NP_689914.3
A0A0A0MT64	NP_001244941.2
A0A0A0MT83	NP_002216.2
A0A0A0MTC0	NP_001287696.1
A0A0A0MTC0	NP_001287697.1
A0A0A0MTC0	NP_001332824.1
A0A0A0MTC0	NP_689896.1
A0A0A0MTN9	NP_001244945.2
A0A0A0MTR6	NP_001244943.2
A0A0B4J1R2	NP_001317171.1
A0A0C4DFM0	NP_665877.1
A0A0C4DFM1	XP_005260679.1
A0A0C4DFN1	NP_284941.2
A0A0C4DFN1	XP_005247653.2
A0A0C4DFN8	NP_077728.3
A0A0C4DFQ1	NP_942584.2
A0A0C4DG02	XP_005264234.1
A0A0C4DG02	XP_011530969.1
A0A0C4DG02	XP_016859016.1
A0A0C4DG17	NP_001291217.1
A0A0C4DG91	NP_005784.1
A0A0C4DGA2	NP_001159482.1
A0A0C4DGA2	NP_006108.2
A0A0C4DGL3	NP_001020420.1
A0A0C4DGN7	NP_004101.3
A0A0C4DGQ8	NP_001317088.1
A0A0C4DGR6	XP_016871152.1
A0A0C4DGU2	NP_001317469.1
A0A0D9SEI0	NP_001135942.1
A0A0D9SEI0	XP_011534178.1
A0A0D9SEI0	XP_011534179.1
A0A0D9SEI0	XP_016866408.1
A0A0D9SFJ1	XP_011535110.1
A0A0D9SFJ1	XP_011535111.1
A0A140TA84	XP_011525977.1
A0A140TA86	NP_001295169.1
A0A140TA86	XP_016881737.1
A0A1B0GTB8	NP_001317518.1
A0A1B0GTL5	XP_005264309.1
