Protein	Gene.ID	Gene	Status	CAFA
1	A0A024QZP7	ENSG00000170312	CDK1	Known mitochondrial	NA
2	A0A024R3B9	ENSG00000109846	CRYAB	Predicted mitochondrial	NA
3	A0A024RBT2	ENSG00000184047	DIABLO	Known mitochondrial	NA
4	A0A075B6P0	ENSG00000156170	NDUFAF6	Known mitochondrial	NA
5	A0A075B6Q7	ENSG00000162946	DISC1	Known mitochondrial	NA
6	A0A075B6T1	ENSG00000110497	AMBRA1	Predicted mitochondrial	NA
7	A0A075B746	ENSG00000266472	MRPS21	Known mitochondrial	NA
8	A0A087WSV8	ENSG00000070081	NUCB2	Known mitochondrial	NA
9	A0A087WT12	ENSG00000167468	GPX4	Known mitochondrial	NA
10	A0A087WT18	ENSG00000122203	KIAA1191	Predicted mitochondrial	NA
11	A0A087WT64	ENSG00000143384	MCL1	Predicted mitochondrial	NA
12	A0A087WT90	ENSG00000259494	MRPL46	Known mitochondrial	NA
13	A0A087WT95	ENSG00000119673	ACOT2	Known mitochondrial	NA
14	A0A087WTF2	ENSG00000173660	UQCRH	Known mitochondrial	NA
15	A0A087WTI3	ENSG00000115286	NDUFS7	Known mitochondrial	NA
16	A0A087WTL4	ENSG00000099968	BCL2L13	Predicted mitochondrial	NA
17	A0A087WTP1	ENSG00000197912	SPG7	Known mitochondrial	NA
18	A0A087WTP2	ENSG00000160752	FDPS	Predicted mitochondrial	NA
19	A0A087WTR4	ENSG00000183549	ACSM5	Known mitochondrial	NA
20	A0A087WTS3	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
21	A0A087WTV6	ENSG00000143811	PYCR2	Known mitochondrial	NA
22	A0A087WU07	ENSG00000173436	MINOS1	Known mitochondrial	NA
23	A0A087WU62	ENSG00000278845	MRPL45	Known mitochondrial	NA
24	A0A087WU95	ENSG00000144369	FAM171B	Predicted mitochondrial	NA
25	A0A087WUA6	ENSG00000250067	YJEFN3	Predicted mitochondrial	NA
26	A0A087WUC6	ENSG00000118363	SPCS2	Predicted mitochondrial	NA
27	A0A087WUE1	ENSG00000170921	TANC2	Predicted mitochondrial	NA
28	A0A087WUN7	ENSG00000119705	SLIRP	Known mitochondrial	NA
29	A0A087WUP3	ENSG00000163607	GTPBP8	Predicted mitochondrial	NA
30	A0A087WUQ6	ENSG00000233276	GPX1	Known mitochondrial	NA
31	A0A087WUV3	ENSG00000117481	NSUN4	Known mitochondrial	NA
32	A0A087WUV8	ENSG00000172270	BSG	Predicted mitochondrial	NA
33	A0A087WUX3	ENSG00000188738	FSIP2	Predicted mitochondrial	NA
34	A0A087WUX8	ENSG00000155008	APOOL	Known mitochondrial	NA
35	A0A087WV22	ENSG00000147403	RPL10	Predicted mitochondrial	NA
36	A0A087WVM4	ENSG00000120254	MTHFD1L	Known mitochondrial	NA
37	A0A087WVQ6	ENSG00000141367	CLTC	Predicted mitochondrial	NA
38	A0A087WVT9	ENSG00000103202	NME4	Known mitochondrial	NA
39	A0A087WVZ0	ENSG00000060762	MPC1	Known mitochondrial	NA
40	A0A087WW40	ENSG00000097033	SH3GLB1	Known mitochondrial	NA
41	A0A087WW65	ENSG00000131269	ABCB7	Known mitochondrial	NA
42	A0A087WW80	ENSG00000099968	BCL2L13	Predicted mitochondrial	NA
43	A0A087WWA3	ENSG00000054523	KIF1B	Known mitochondrial	NA
44	A0A087WWB7	ENSG00000162836	ACP6	Known mitochondrial	NA
