Entry	Length
Q92934	168
P28838	519
Q7L592	441
Q6SZW1	724
Q9Y2S7	368
P54819	239
P28907	300
Q02790	459
O14561	156
Q16654	411
Q9UJS0	675
P53701	268
P05141	298
Q9NWR8	336
P49916	1009
Q53FZ2	586
O95153	1857
Q15119	407
P63010	937
Q8TB22	786
Q53H12	422
Q12887	443
Q9BQ52	826
P41247	253
O94812	1187
Q9NVH1	559
Q9UDR5	926
P10620	155
Q16526	586
P31930	480
Q6DKK2	380
Q15031	903
Q9BZJ4	359
Q9NRV9	189
Q6PML9	568
Q7KZN9	410
Q8NE62	594
Q07973	514
P31327	1500
Q13642	323
P28331	727
P13196	640
Q9NS18	164
P19971	482
Q15785	309
P08670	466
Q9NRZ5	378
Q99797	713
Q86Y07	508
Q8WVM0	346
Q16611	211
Q9UG63	623
Q96C01	138
P54296	1465
P00480	354
Q9P0K7	980
Q96T60	521
Q8WTV1	239
Q9H3H1	467
P11021	654
Q9NRF8	586
P82664	201
Q8WV60	388
Q96AQ8	359
Q6P1Q0	360
Q06609	339
O43488	359
O60333	1816
Q8N983	215
P54886	795
O75879	557
Q9Y5U8	109
P09110	424
P54687	386
P82673	323
O75390	466
Q96EL2	167
Q96AB3	205
Q86TW2	530
Q16775	308
P78549	312
Q6BDS2	1440
P04181	439
Q15046	597
O95168	129
P13995	350
Q7Z4G4	463
Q96BY7	2078
Q68CK6	577
Q15390	333
P22830	423
P46020	1223
P14618	531
P61586	193
Q9NSE4	1012
P51553	393
Q15120	406
Q6AI08	1181
Q13057	564
O60488	711
Q9H902	201
Q8N5C6	995
Q8IVP5	155
P27338	520
Q9BXW7	423
P80303	420
Q8WWI5	657
P17612	351
P12814	892
Q9UK32	745
P51648	485
P02786	760
Q99714	261
Q96Q11	434
P49748	655
Q9BVL4	669
P31040	664
P82930	218
Q9Y276	419
P49257	510
O43149	2961
P06733	434
Q2TBF2	565
P24752	427
Q6IC98	578
Q8TBP6	338
Q9BVV7	248
Q00325	362
P60709	375
Q9Y3B8	237
P13051	313
O00763	2458
O60237	982
Q8WUT9	341
Q96RQ3	725
Q9Y277	283
P49768	467
P36551	454
Q9NVH0	621
P78540	354
Q14154	515
P23368	584
Q9NWU5	206
Q9NU23	88
P21953	392
P55809	520
Q9NQZ5	370
Q8NC60	698
P09211	210
P40939	763
Q6NUK1	477
P15121	316
P46199	727
P31689	397
Q13084	256
Q9NPH5	578
O75807	674
P02792	175
Q07812	192
Q32NB8	556
Q9H9P8	463
O00429	736
O75208	318
Q9UJA2	301
Q5TEA3	1177
Q7Z434	540
Q02878	288
Q6J4K2	584
P00973	400
P05388	317
Q9Y6E7	314
Q7L7V1	743
Q9Y291	106
O95178	105
Q969V5	352
Q8NCN5	879
P09622	509
P07954	510
Q96IK0	257
P21964	271
Q9NTX5	307
P43155	626
Q9NVS2	196
P08238	724
O00154	380
Q9Y371	365
P30049	168
P17568	137
Q9Y5L4	95
O00411	1230
Q9ULC8	765
O95721	258
Q9BXK5	485
P30046	118
P28482	360
O43272	600
P53007	311
O75600	419
Q8IWL3	235
Q9NS69	142
Q9Y3I1	522
P00387	301
Q8IVS2	390
B1AH88	102
P30536	169
P39023	403
L0R8F8	70
Q9NQG6	463
P35579	1960
Q9Y512	469
Q99757	166
Q6ICG6	404
Q99798	780
O75648	421
Q8TCT0	537
Q9NRG7	319
Q9Y5J7	89
O43708	216
O15270	562
Q13686	389
Q9Y394	339
P57103	927
P11586	935
P27695	318
Q13268	280
Q16822	640
O15091	583
Q8TEL6	797
Q9NVA1	299
Q9H3Z4	198
Q9Y3B1	194
Q9H4K7	406
Q5TEU4	345
O15079	494
Q92544	642
Q9P286	719
O43837	385
Q96SZ6	601
O14734	319
Q8N0V3	343
P33897	745
P13797	630
Q96DX5	294
O95258	325
Q16635	292
P0C0E4	278
P00558	417
Q9Y237	131
Q9UH62	379
Q92665	395
Q9Y619	301
A3KMH1	1905
A6NK06	481
P27361	379
O43325	122
Q9Y2Y0	163
Q02127	395
O43169	146
Q13232	169
Q9NRP2	79
O95822	493
P29372	298
Q3SXM5	330
O00746	187
Q9BQD7	235
Q5JPH6	523
Q96EY1	480
Q9ULZ3	195
O14735	213
O14874	412
P83111	547
Q96DP5	389
O60320	539
Q16698	335
Q8TB36	358
Q15006	297
Q9NVT9	282
P00390	522
Q13454	348
Q13510	395
O60238	219
Q13011	328
Q9NP81	518
Q09013	629
O43615	452
A1L0T0	632
Q3ZCQ8	353
Q96PG8	261
Q9BXH1	193
Q9NW81	257
Q9BYD3	311
P38117	255
O15382	392
Q92947	438
Q02543	176
Q14318	412
O95571	254
Q96NL0	473
A4D1E9	387
O75439	489
Q02218	1023
Q04837	148
P31937	336
Q8NFV4	315
P41250	739
Q9Y6H1	151
O75127	700
Q9H9J4	1324
Q9BUA6	226
Q9NX63	227
Q9BYC8	188
Q9GZY4	146
Q9HBL7	147
Q8NF50	2099
Q9BPX6	476
Q96RR1	684
Q9BWM7	321
Q9NVV4	582
Q5JRX3	1037
Q00059	246
P30405	207
O43502	376
O43236	478
Q9NVS9	261
P23443	525
Q02978	314
Q07021	282
O43572	662
Q9UH92	298
Q9P0M9	148
Q99536	393
Q96AG4	307
P62258	255
Q6IAN0	325
Q9NX40	245
O43677	76
P25874	307
P49207	117
Q9UJ72	324
Q9HAV7	217
Q8N5Z0	425
P02511	175
Q9Y6C9	303
P11142	646
Q9NNZ3	241
Q96CU9	486
P50416	773
O00330	501
Q9C0C7	1298
Q8WUK0	201
O00217	210
Q13488	830
Q5HYK3	327
Q6IMN6	1127
P49281	568
Q14165	292
P06576	529
O15528	508
Q9H6R3	686
Q6JQN1	1059
P05091	517
Q4U2R6	128
P04406	335
A0JNW5	1464
P60174	286
Q86UY8	548
Q15286	201
P12074	109
Q9NVK5	253
Q9P0S9	112
Q7Z4H3	204
Q9UGC7	380
P04179	222
Q9H0U6	180
O95816	211
Q9UKA2	621
Q92558	559
P51649	535
Q9NPJ3	140
Q5T653	305
P14406	83
Q9NZA1	410
P49590	506
Q13423	1086
Q9NP92	439
P38646	679
Q92552	414
Q9NWX6	298
Q9H4A6	298
Q9BYV1	514
P04150	777
Q12981	228
Q9NPL8	285
Q9NQR4	276
Q96A26	154
O15527	345
P05166	539
Q96CQ1	311
O75896	110
P38606	617
P09001	348
Q9Y5R4	338
Q16854	277
Q9BST9	563
Q96GK7	314
P43304	727
P39210	176
Q13724	837
O75251	213
O43464	458
P28330	430
P49406	292
O94925	669
Q70CQ2	3546
Q9BUP0	239
Q9H8M1	238
P61604	102
Q9NP58	842
O75746	678
O14548	114
P35270	261
P22307	547
Q9BZE1	423
Q99497	189
Q01433	879
Q9BV79	373
P24539	256
Q8IYS2	634
O95140	757
Q9BSE5	352
Q08257	329
Q9NX46	363
