"Gene.ID"	"Symbol"	"Homologs"	"Description"	"Category"	"Score"	"Evidence"	"Notes"	"OMIM_ID"	"Dis_description"	"DomRec"	"WashU"	"Disease"	"pLI"
"1"	"ENSG00000002330"	"BAD"	"ENSG00000002330 ENSDARG00000054937 ENSMUSG00000024959 ENSRNOG00000021147 "	"BCL2-associated agonist of cell death"	"Known mitochondrial"	0.842434518	"MTS_Mean: 0.07666875 | HPA_Mitochondria: 1 | Comm_Mito_Ratio: 0.3 | "	"OMIM:603167"	NA	NA	NA	NA	0	0.000414578843999332
"2"	"ENSG00000002549"	"LAP3"	"ENSG00000002549 ENSDARG00000061981 ENSMUSG00000039682 ENSRNOG00000003289 "	"leucine aminopeptidase 3"	"Known mitochondrial"	0.999999988	"PMID14651853_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID21672642_liver_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 3 | MTS_Mean: 0.94625 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: -1.0 | Comm_Mito_Ratio: 0.636 | "	"APEX; PMID:23371551"	NA	NA	NA	NA	0	0.00122013401187321
"3"	"ENSG00000003509"	"NDUFAF7"	"ENSG00000003509 ENSDARG00000033134 ENSMUSG00000024082 ENSRNOG00000005279 "	"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7"	"Known mitochondrial"	1	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 9 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Kidney_Sum: 1 | MTS_Mean: 0.89549375 | hela_subcell_location_Mitochondrion: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.6 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.9 | "	"OMIM:615898"	NA	NA	NA	NA	0	1.17734908571096e-11
"4"	"ENSG00000004139"	"SARM1"	"ENSG00000004139 ENSDARG00000010610 ENSMUSG00000050132 ENSRNOG00000010244 "	"sterile alpha and TIR motif containing 1"	"Predicted mitochondrial"	0.853297975	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 2 | MS_Brain_Sum: 1 | MTS_Mean: 0.43794375 | HPA_NonMitochondria: 1 | "	""	NA	NA	NA	NA	0	9.18622777225885e-09
"5"	"ENSG00000004142"	"POLDIP2"	"ENSG00000004142 ENSDARG00000092305 ENSMUSG00000001100 ENSRNOG00000009252 "	"polymerase (DNA-directed), delta interacting protein 2"	"Known mitochondrial"	1	"PMID14651853_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.74418125 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: 0.2 | Cluh_Enrichment: 1 | "	"OMIM:611519"	NA	NA	NA	NA	0	0.0492454565267766
"6"	"ENSG00000004455"	"AK2"	"ENSG00000004455 ENSDARG00000005926 ENSMUSG00000028792 ENSRNOG00000000122 SPAC4G9.03 YDR226W "	"adenylate kinase 2"	"Known mitochondrial"	0.999999887	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 2 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 5 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 8 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 6 | MTS_Mean: 0.03285 | hela_subcell_location_Mitochondrion: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: -0.4 | Comm_Mito_Ratio: 0.636 | "	"Characterised; Metabolic model; "	"267500"	"Reticular dysgenesis"	"R"	"MitoDis"	1	0.00556558560437493
"7"	"ENSG00000004468"	"CD38"	"ENSG00000004468 ENSMUSG00000029084 ENSRNOG00000003069 "	"CD38 molecule"	"Known mitochondrial"	0.006169276	"PMID19567276_skeletal_muscle_0: 1 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.03660625 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -3 | Comm_Mito_Ratio: 0.231 | "	"Literature; PMID: 18775783"	NA	NA	NA	NA	0	7.65670798329562e-05
"8"	"ENSG00000004478"	"FKBP4"	"ENSG00000004478 ENSDARG00000008447 ENSMUSG00000030357 ENSRNOG00000006444 "	"FK506 binding protein 4, 59kDa"	"Known mitochondrial"	0.221473524	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID24708184_Sum: 1 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 2 | MTS_Mean: 0.02290625 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: -1.2 | Comm_Mito_Ratio: 0.312 | "	"Literature; PMID: 21730050"	NA	NA	NA	NA	0	0.927473130653813
"9"	"ENSG00000004779"	"NDUFAB1"	"ENSG00000004779 ENSDARG00000014915 ENSMUSG00000030869 ENSRNOG00000018129 SPAC4H3.09 YKL192C "	"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa"	"Known mitochondrial"	1	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID16615898_Sum: 1 | PMID16615899_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 7 | MTS_Mean: 0.7854625 | hela_subcell_location_Mitochondrion: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 1 | "	"Characterised; Metabolic model; "	NA	NA	NA	NA	0	0.755255332218331
"10"	"ENSG00000004799"	"PDK4"	"ENSG00000004799 ENSDARG00000054848 ENSMUSG00000019577 ENSRNOG00000009565 "	"pyruvate dehydrogenase kinase, isozyme 4"	"Known mitochondrial"	0.999999985	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 1 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID26450961_Sum: 13 | PMID12865426_liver_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 5 | MTS_Mean: 0.5850875 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.962 | "	"Characterised"	NA	NA	NA	NA	0	4.55196606471685e-06
