Protein	Gene.ID	Gene	Status	Guess	Alg
A0A024R3B9	ENSG00000109846	CRYAB	Predicted mitochondrial	tp	PANNZER
A0A024RBT2	ENSG00000184047	DIABLO	Known mitochondrial	tp	PANNZER
A0A075B6P0	ENSG00000156170	NDUFAF6	Known mitochondrial	tp	PANNZER
A0A075B6Q7	ENSG00000162946	DISC1	Known mitochondrial	tp	PANNZER
A0A075B6T1	ENSG00000110497	AMBRA1	Predicted mitochondrial	tp	PANNZER
A0A087WT12	ENSG00000167468	GPX4	Known mitochondrial	tp	PANNZER
A0A087WT64	ENSG00000143384	MCL1	Predicted mitochondrial	tp	PANNZER
A0A087WTV6	ENSG00000143811	PYCR2	Known mitochondrial	tp	PANNZER
A0A087WU62	ENSG00000278845	MRPL45	Known mitochondrial	tp	PANNZER
A0A087WUA6	ENSG00000250067	YJEFN3	Predicted mitochondrial	tp	PANNZER
A0A087WUN7	ENSG00000119705	SLIRP	Known mitochondrial	tp	PANNZER
A0A087WUP3	ENSG00000163607	GTPBP8	Predicted mitochondrial	tp	PANNZER
A0A087WUQ6	ENSG00000233276	GPX1	Known mitochondrial	tp	PANNZER
A0A087WUX3	ENSG00000188738	FSIP2	Predicted mitochondrial	tp	PANNZER
A0A087WVM4	ENSG00000120254	MTHFD1L	Known mitochondrial	tp	PANNZER
A0A087WVQ6	ENSG00000141367	CLTC	Predicted mitochondrial	tp	PANNZER
A0A087WWA3	ENSG00000054523	KIF1B	Known mitochondrial	tp	PANNZER
A0A087WWB7	ENSG00000162836	ACP6	Known mitochondrial	tp	PANNZER
A0A087WWD5	ENSG00000102125	TAZ	Known mitochondrial	tp	PANNZER
A0A087WWM6	ENSG00000100033	PRODH	Known mitochondrial	tp	PANNZER
A0A087WX97	ENSG00000099968	BCL2L13	Predicted mitochondrial	tp	PANNZER
A0A087WXU0	ENSG00000155906	RMND1	Known mitochondrial	tp	PANNZER
A0A087WY71	ENSG00000161203	AP2M1	Predicted mitochondrial	tp	PANNZER
A0A087WYX6	ENSG00000162946	DISC1	Known mitochondrial	tp	PANNZER
A0A087WZC1	ENSG00000278619	MRM1	Known mitochondrial	tp	PANNZER
A0A087WZL8	ENSG00000156113	KCNMA1	Known mitochondrial	tp	PANNZER
A0A087WZN1	ENSG00000101365	IDH3B	Known mitochondrial	tp	PANNZER
A0A087WZR9	ENSG00000143811	PYCR2	Known mitochondrial	tp	PANNZER
A0A087X004	ENSG00000135423	GLS2	Known mitochondrial	tp	PANNZER
A0A087X0Q9	ENSG00000073169	SELENOO	Predicted mitochondrial	tp	PANNZER
A0A087X0Z2	ENSG00000196236	XPNPEP3	Known mitochondrial	tp	PANNZER
A0A087X1I3	ENSG00000073578	SDHA	Known mitochondrial	tp	PANNZER
A0A087X1K9	ENSG00000120992	LYPLA1	Predicted mitochondrial	tp	PANNZER
A0A087X1N6	ENSG00000196072	BLOC1S2	Known mitochondrial	tp	PANNZER
A0A087X2B9	ENSG00000173660	UQCRH	Known mitochondrial	tp	PANNZER
A0A087X2D5	ENSG00000278845	MRPL45	Known mitochondrial	tp	PANNZER
A0A087X2E5	ENSG00000101365	IDH3B	Known mitochondrial	tp	PANNZER
A0A087X2I2	ENSG00000167468	GPX4	Known mitochondrial	tp	PANNZER
A0A096LP96	ENSG00000184470	TXNRD2	Known mitochondrial	tp	PANNZER
A0A096LPB7	ENSG00000184470	TXNRD2	Known mitochondrial	tp	PANNZER
A0A096LPD9	ENSG00000184470	TXNRD2	Known mitochondrial	tp	PANNZER
A0A096LPH4	ENSG00000184470	TXNRD2	Known mitochondrial	tp	PANNZER
A0A096LPK7	ENSG00000184470	TXNRD2	Known mitochondrial	tp	PANNZER
A0A0A0MQX2	ENSG00000124532	MRS2	Known mitochondrial	tp	PANNZER
A0A0A0MQZ4	ENSG00000163644	PPM1K	Known mitochondrial	tp	PANNZER
A0A0A0MR51	ENSG00000149485	FADS1	Known mitochondrial	tp	PANNZER
A0A0C4DG60	ENSG00000163738	MTHFD2L	Known mitochondrial	tp	PANNZER
A0A0C4DG91	ENSG00000172113	NME6	Known mitochondrial	tp	PANNZER
A0A0C4DGA2	ENSG00000198721	ECI2	Known mitochondrial	tp	PANNZER
A0A0C4DGJ8	ENSG00000205707	ETFRF1	Predicted mitochondrial	tp	PANNZER
A0A0C4DGN7	ENSG00000161513	FDXR	Known mitochondrial	tp	PANNZER
A0A0C4DGV3	ENSG00000152620	NADK2	Known mitochondrial	tp	PANNZER
A0A0D9SEI0	ENSG00000130349	C6orf203	Predicted mitochondrial	tp	PANNZER
A0A0D9SEV0	ENSG00000039650	PNKP	Known mitochondrial	tp	PANNZER
A0A1B0GU66	ENSG00000039650	PNKP	Known mitochondrial	tp	PANNZER
A6NG45	ENSG00000123131	PRDX4	Known mitochondrial	tp	PANNZER
A6NHH0	ENSG00000148334	PTGES2	Known mitochondrial	tp	PANNZER
A6NHR2	ENSG00000116221	MRPL37	Known mitochondrial	tp	PANNZER
A6NK06	ENSG00000102794	ACOD1	Predicted mitochondrial	tp	PANNZER
A6XGL0	ENSG00000250067	YJEFN3	Predicted mitochondrial	tp	PANNZER
A8K0A6	ENSG00000135423	GLS2	Known mitochondrial	tp	PANNZER
A8K1M9	ENSG00000165046	LETM2	Known mitochondrial	tp	PANNZER
