"Gen"	"UniProt"
"ENSG00000002330"	"A8MXU7"
"ENSG00000002330"	"F5GYS3"
"ENSG00000002330"	"F5H1R6"
"ENSG00000002330"	"F5H3B1"
"ENSG00000002330"	"Q92934"
"ENSG00000002549"	"H0Y983"
"ENSG00000002549"	"H0Y9Q1"
"ENSG00000002549"	"P28838"
"ENSG00000003509"	"B4E0W7"
"ENSG00000003509"	"C9J236"
"ENSG00000003509"	"C9JEL7"
"ENSG00000003509"	"C9JP36"
"ENSG00000003509"	"C9JS27"
"ENSG00000003509"	"H7C3N5"
"ENSG00000003509"	"Q7L592"
"ENSG00000004139"	"J3KRZ6"
"ENSG00000004139"	"J3KSG7"
"ENSG00000004139"	"J3QRE0"
"ENSG00000004139"	"Q6SZW1"
"ENSG00000004142"	"B4DEM9"
"ENSG00000004142"	"Q9Y2S7"
"ENSG00000004455"	"F8VPP1"
"ENSG00000004455"	"F8VY04"
"ENSG00000004455"	"F8VZG5"
"ENSG00000004455"	"F8W1A4"
"ENSG00000004455"	"G3V213"
"ENSG00000004455"	"P54819"
"ENSG00000004468"	"H0Y950"
"ENSG00000004468"	"P28907"
"ENSG00000004478"	"F5H120"
"ENSG00000004478"	"F5H1U3"
"ENSG00000004478"	"H0YFG2"
"ENSG00000004478"	"H0YG86"
"ENSG00000004478"	"Q02790"
"ENSG00000004779"	"H3BNE8"
"ENSG00000004779"	"H3BNK3"
"ENSG00000004779"	"I3L505"
"ENSG00000004779"	"O14561"
"ENSG00000004799"	"Q16654"
"ENSG00000004864"	"Q9UJS0"
"ENSG00000004864"	"R4GN64"
"ENSG00000004961"	"P53701"
"ENSG00000005022"	"P05141"
"ENSG00000005059"	"Q9NWR8"
"ENSG00000005156"	"K7EJR4"
"ENSG00000005156"	"K7ELY6"
"ENSG00000005156"	"K7ENR9"
"ENSG00000005156"	"K7EQB6"
"ENSG00000005156"	"K7ERZ5"
"ENSG00000005156"	"P49916"
"ENSG00000005187"	"H3BR33"
"ENSG00000005187"	"H3BSM0"
"ENSG00000005187"	"H3BT38"
"ENSG00000005187"	"H3BTG0"
"ENSG00000005187"	"H3BUF2"
"ENSG00000005187"	"H3BV29"
"ENSG00000005187"	"H3BVD5"
"ENSG00000005187"	"Q53FZ2"
"ENSG00000005379"	"A0A0C4DGN5"
"ENSG00000005379"	"J3KSY4"
"ENSG00000005379"	"J3KT64"
"ENSG00000005379"	"O95153"
"ENSG00000005882"	"D6R983"
"ENSG00000005882"	"D6RDN9"
"ENSG00000005882"	"D6RGV8"
"ENSG00000005882"	"D6RHG2"
"ENSG00000005882"	"D6RJH7"
"ENSG00000005882"	"Q15119"
"ENSG00000006125"	"A0A087WU93"
"ENSG00000006125"	"A0A087WXS3"
"ENSG00000006125"	"A0A087WYD1"
"ENSG00000006125"	"A0A087WZQ6"
"ENSG00000006125"	"A0A087X253"
"ENSG00000006125"	"K7EJ01"
"ENSG00000006125"	"K7EJX1"
"ENSG00000006125"	"K7EKZ5"
"ENSG00000006125"	"K7EMN7"
"ENSG00000006125"	"K7EN71"
"ENSG00000006125"	"K7ERB2"
"ENSG00000006125"	"P63010"
"ENSG00000006282"	"A0A0U1RRL8"
"ENSG00000006282"	"D6R947"
"ENSG00000006282"	"D6RC70"
"ENSG00000006282"	"D6RIU6"
"ENSG00000006282"	"H0Y9M1"
"ENSG00000006282"	"H0Y9W3"
"ENSG00000006282"	"Q8TB22"
"ENSG00000006530"	"E9PC15"
"ENSG00000006530"	"E9PG39"
"ENSG00000006530"	"F8WDD1"
"ENSG00000006530"	"Q53H12"
"ENSG00000006695"	"H7C101"
"ENSG00000006695"	"J3KRW4"
"ENSG00000006695"	"J3KSJ3"
"ENSG00000006695"	"Q12887"
"ENSG00000006744"	"E7ES68"
"ENSG00000006744"	"G5E9D5"
"ENSG00000006744"	"H7C2I4"
"ENSG00000006744"	"J3QL08"
"ENSG00000006744"	"J3QLK4"
"ENSG00000006744"	"J3QQT1"
"ENSG00000006744"	"J3QRS2"
"ENSG00000006744"	"Q9BQ52"
"ENSG00000006744"	"V9GYS7"
"ENSG00000006744"	"V9GYU5"
"ENSG00000006744"	"V9GZ72"
"ENSG00000006757"	"C9IZF6"
"ENSG00000006757"	"P41247"
"ENSG00000007516"	"H3BPP9"
"ENSG00000007516"	"H3BV46"
"ENSG00000007516"	"O94812"
"ENSG00000007923"	"B1AK20"
"ENSG00000007923"	"Q5TH61"
"ENSG00000007923"	"Q9NVH1"
"ENSG00000008311"	"F8WAH1"
"ENSG00000008311"	"F8WE53"
"ENSG00000008311"	"H7C0C6"
"ENSG00000008311"	"Q9UDR5"
"ENSG00000008394"	"F5GX73"
"ENSG00000008394"	"F5H613"
"ENSG00000008394"	"F5H6X2"
"ENSG00000008394"	"F5H760"
"ENSG00000008394"	"F5H7F6"
"ENSG00000008394"	"P10620"
"ENSG00000008405"	"H0YHT0"
"ENSG00000008405"	"Q16526"
"ENSG00000010256"	"F8WEF1"
"ENSG00000010256"	"F8WER5"
"ENSG00000010256"	"P31930"
"ENSG00000011052"	"J3KPD9"
"ENSG00000011052"	"Q32Q12"
"ENSG00000011295"	"K7EJA1"
"ENSG00000011295"	"K7EKH7"
"ENSG00000011295"	"K7EKS0"
"ENSG00000011295"	"K7ELX2"
"ENSG00000011295"	"K7ERR1"
"ENSG00000011295"	"Q6DKK2"
"ENSG00000011376"	"C9IZR7"
"ENSG00000011376"	"C9JYR8"
"ENSG00000011376"	"E9PHM2"
"ENSG00000011376"	"Q15031"
"ENSG00000013306"	"B4DFG5"
"ENSG00000013306"	"K7EJI2"
"ENSG00000013306"	"K7EKC2"
"ENSG00000013306"	"K7EKF4"
"ENSG00000013306"	"K7ELM7"
"ENSG00000013306"	"K7EMR4"
"ENSG00000013306"	"K7EMW3"
"ENSG00000013306"	"K7EQS4"
"ENSG00000013306"	"K7EQS8"
"ENSG00000013306"	"Q9BZJ4"
"ENSG00000013583"	"F5GWX2"
"ENSG00000013583"	"H0YG71"
"ENSG00000013583"	"Q9NRV9"
"ENSG00000014824"	"D6R9M6"
"ENSG00000014824"	"Q6PML9"
"ENSG00000014919"	"Q7KZN9"
"ENSG00000016391"	"C9J7D8"
"ENSG00000016391"	"C9JYW4"
"ENSG00000016391"	"Q8NE62"
"ENSG00000019186"	"Q07973"
"ENSG00000021826"	"C9JTA4"
"ENSG00000021826"	"E7EWJ3"
"ENSG00000021826"	"P31327"
"ENSG00000021826"	"Q5R211"
"ENSG00000022267"	"A0A0D9SEY7"
"ENSG00000022267"	"A0A0D9SFB0"
"ENSG00000022267"	"A0A0D9SFI6"
"ENSG00000022267"	"A0A0D9SFZ9"
"ENSG00000022267"	"A0A0D9SG53"
"ENSG00000022267"	"A0A0D9SGB2"
"ENSG00000022267"	"A0A0D9SGC5"
"ENSG00000022267"	"A0A0D9SGD1"
"ENSG00000022267"	"Q13642"
"ENSG00000022267"	"Q5JXH7"
"ENSG00000022267"	"Q5JXH8"
"ENSG00000022267"	"Q5JXH9"
"ENSG00000022267"	"Q5JXI0"
"ENSG00000022267"	"Q5JXI2"
"ENSG00000022267"	"Q5JXI3"
"ENSG00000022267"	"Q5JXI8"
"ENSG00000023228"	"B4DJ81"
"ENSG00000023228"	"C9JPQ5"
"ENSG00000023228"	"F8WDL5"
"ENSG00000023228"	"P28331"
"ENSG00000023330"	"H7C4H7"
"ENSG00000023330"	"H7C5B0"
"ENSG00000023330"	"P13196"
"ENSG00000023572"	"Q9NS18"
"ENSG00000025708"	"C9JGI3"
"ENSG00000025708"	"P19971"
"ENSG00000025772"	"Q15785"
"ENSG00000026025"	"A0A1B0GTT5"
"ENSG00000026025"	"A0A1B0GVG8"
"ENSG00000026025"	"B0YJC4"
"ENSG00000026025"	"B0YJC5"
"ENSG00000026025"	"P08670"
"ENSG00000026652"	"G3XAF1"
"ENSG00000026652"	"H0Y5R3"
"ENSG00000026652"	"Q5TEE8"
"ENSG00000026652"	"Q6AI25"
"ENSG00000026652"	"Q9NRZ5"
"ENSG00000027001"	"Q99797"
"ENSG00000028116"	"E7ERS5"
"ENSG00000028116"	"E9PBU1"
"ENSG00000028116"	"Q86Y07"
"ENSG00000029639"	"Q8WVM0"
"ENSG00000030110"	"A0A0A0MRG8"
"ENSG00000030110"	"Q16611"
"ENSG00000033050"	"C9JHK9"
"ENSG00000033050"	"C9JZV3"
"ENSG00000033050"	"Q9UG63"
"ENSG00000035141"	"C9J2Y4"
"ENSG00000035141"	"C9JF51"
"ENSG00000035141"	"E7EQY1"
"ENSG00000035141"	"Q96C01"
"ENSG00000036448"	"E7EWH9"
"ENSG00000036448"	"P54296"
"ENSG00000036473"	"P00480"
"ENSG00000039560"	"D6R9G4"
"ENSG00000039560"	"D6R9G6"
"ENSG00000039560"	"D6RB25"
"ENSG00000039560"	"D6RB27"
"ENSG00000039560"	"D6RBW6"
"ENSG00000039560"	"D6RBY4"
"ENSG00000039560"	"D6RDL2"
"ENSG00000039560"	"D6RE17"
"ENSG00000039560"	"D6REL2"
"ENSG00000039560"	"D6RF74"
"ENSG00000039560"	"Q9P0K7"
"ENSG00000039650"	"A0A0D9SEV0"
"ENSG00000039650"	"A0A0D9SFD6"
"ENSG00000039650"	"A0A0D9SFL2"
"ENSG00000039650"	"A0A0D9SFU1"
"ENSG00000039650"	"A0A1B0GU66"
"ENSG00000039650"	"A0A1B0GVJ3"
"ENSG00000039650"	"A0A1B0GW17"
"ENSG00000039650"	"A0A1B0GW61"
"ENSG00000039650"	"A0A1W2PP58"
"ENSG00000039650"	"M0QX49"
"ENSG00000039650"	"M0QYH2"
"ENSG00000039650"	"M0QYI1"
"ENSG00000039650"	"M0R000"
"ENSG00000039650"	"M0R097"
"ENSG00000039650"	"M0R3C8"
"ENSG00000039650"	"Q96T60"
"ENSG00000041988"	"K7EIZ2"
"ENSG00000041988"	"Q8WTV1"
"ENSG00000041988"	"R4GNH0"
"ENSG00000043514"	"B4DK89"
"ENSG00000043514"	"Q3T7B4"
"ENSG00000043514"	"Q9H3H1"
"ENSG00000043514"	"S4R2X1"
"ENSG00000043514"	"S4R2Z0"
"ENSG00000043514"	"S4R3C5"
"ENSG00000043514"	"S4R3F4"
"ENSG00000043514"	"S4R3U8"
"ENSG00000044574"	"P11021"
"ENSG00000047230"	"H0Y5S6"
"ENSG00000047230"	"Q9NRF8"
"ENSG00000048544"	"P82664"
"ENSG00000049883"	"B7Z8R2"
"ENSG00000049883"	"D6RGK0"
"ENSG00000049883"	"D6RIZ0"
"ENSG00000049883"	"D6RJH8"
"ENSG00000049883"	"E5RHU2"
"ENSG00000049883"	"F6S289"
"ENSG00000049883"	"Q8WV60"
"ENSG00000050393"	"Q96AQ8"
"ENSG00000050393"	"U3KQP8"
"ENSG00000050426"	"F8VP71"
"ENSG00000050426"	"F8VPY5"
"ENSG00000050426"	"F8VQE7"
"ENSG00000050426"	"F8VR33"
"ENSG00000050426"	"F8VR35"
"ENSG00000050426"	"F8VS60"
"ENSG00000050426"	"F8VTR1"
"ENSG00000050426"	"F8VUZ8"
"ENSG00000050426"	"F8VVQ3"
"ENSG00000050426"	"F8VXQ4"
"ENSG00000050426"	"F8VZA2"
"ENSG00000050426"	"F8W0R0"
"ENSG00000050426"	"F8W1U1"
"ENSG00000050426"	"F8W1Z2"
"ENSG00000050426"	"F8W6J0"
"ENSG00000050426"	"F8WCD9"
"ENSG00000050426"	"H0YH93"
"ENSG00000050426"	"H0YHF4"
"ENSG00000050426"	"H0YIV5"
"ENSG00000050426"	"Q6P1Q0"
"ENSG00000051180"	"E9PI54"
"ENSG00000051180"	"E9PJ30"
"ENSG00000051180"	"E9PNT5"
"ENSG00000051180"	"H0YD61"
"ENSG00000051180"	"Q06609"
"ENSG00000051180"	"Q9NZG9"
"ENSG00000053371"	"H3BLU7"
"ENSG00000053371"	"H7C4Q7"
"ENSG00000053371"	"H7C5H7"
"ENSG00000053371"	"O43488"
"ENSG00000054523"	"A0A087WWA3"
"ENSG00000054523"	"A0A0U1RQL3"
"ENSG00000054523"	"O60333"
"ENSG00000054523"	"Q4R9M9"
"ENSG00000055950"	"B1AL05"
"ENSG00000055950"	"H0Y6Y8"
"ENSG00000055950"	"H0YBU8"
"ENSG00000055950"	"M0R051"
"ENSG00000055950"	"Q8N983"
"ENSG00000059573"	"P54886"
"ENSG00000059691"	"B4E0P2"
"ENSG00000059691"	"D6RDU9"
"ENSG00000059691"	"D6REA0"
"ENSG00000059691"	"D6RGY4"
"ENSG00000059691"	"H0Y8G7"
"ENSG00000059691"	"H0Y9F2"
"ENSG00000059691"	"H0Y9W6"
"ENSG00000059691"	"O75879"
"ENSG00000060762"	"A0A087WVZ0"
"ENSG00000060762"	"Q5TI65"
"ENSG00000060762"	"Q9Y5U8"
"ENSG00000060971"	"B4DVF4"
"ENSG00000060971"	"C9JDE9"
"ENSG00000060971"	"F2Z2Q6"
"ENSG00000060971"	"F2Z3P7"
"ENSG00000060971"	"H0Y4D4"
"ENSG00000060971"	"H7C131"
"ENSG00000060971"	"P09110"
"ENSG00000060982"	"A0A087WYF2"
"ENSG00000060982"	"F5H2F2"
"ENSG00000060982"	"P54687"
"ENSG00000061794"	"F5H612"
"ENSG00000061794"	"H0YFD1"
"ENSG00000061794"	"H0YG82"
"ENSG00000061794"	"P82673"
"ENSG00000062485"	"A0A0C4DGI3"
"ENSG00000062485"	"B4DJV2"
"ENSG00000062485"	"F8VPA1"
"ENSG00000062485"	"F8VPF9"
"ENSG00000062485"	"F8VR34"
"ENSG00000062485"	"F8VRI6"
"ENSG00000062485"	"F8VRP1"
"ENSG00000062485"	"F8VTT8"
"ENSG00000062485"	"F8VU34"
"ENSG00000062485"	"F8VVY4"
"ENSG00000062485"	"F8VWQ5"
"ENSG00000062485"	"F8VX07"
"ENSG00000062485"	"F8VX68"
"ENSG00000062485"	"F8VZK9"
"ENSG00000062485"	"F8W0J2"
"ENSG00000062485"	"F8W1S4"
