Protein	Gene.ID	Gene	Status	CAFA
341	A1L0T0	ENSG00000105135	ILVBL	Predicted mitochondrial	Da
369	A6NFY7	ENSG00000205138	SDHAF1	Known mitochondrial	Da
384	A6NK58	ENSG00000175536	LIPT2	Known mitochondrial	Da
416	A8MXV4	ENSG00000213965	NUDT19	Known mitochondrial	Da
428	B1AH88	ENSG00000100300	TSPO	Known mitochondrial	Da
595	C9JRZ8	ENSG00000227471	AKR1B15	Known mitochondrial	Da
596	C9JRZ8	ENSG00000227471	AKR1B15	Known mitochondrial	Da
1973	O00142	ENSG00000166548	TK2	Known mitochondrial	Da
1974	O00142	ENSG00000166548	TK2	Known mitochondrial	Da
1975	O00142	ENSG00000166548	TK2	Known mitochondrial	Da
1976	O00142	ENSG00000166548	TK2	Known mitochondrial	Da
1977	O00142	ENSG00000166548	TK2	Known mitochondrial	Da
1978	O00142	ENSG00000166548	TK2	Known mitochondrial	Da
1979	O00154	ENSG00000097021	ACOT7	Known mitochondrial	Da
1980	O00154	ENSG00000097021	ACOT7	Known mitochondrial	Da
1981	O00154	ENSG00000097021	ACOT7	Known mitochondrial	Da
1982	O00154	ENSG00000097021	ACOT7	Known mitochondrial	Da
1983	O00154	ENSG00000097021	ACOT7	Known mitochondrial	Da
1984	O00154	ENSG00000097021	ACOT7	Known mitochondrial	Da
1985	O00154	ENSG00000097021	ACOT7	Known mitochondrial	Da
1986	O00165	ENSG00000143575	HAX1	Known mitochondrial	Da
1987	O00165	ENSG00000143575	HAX1	Known mitochondrial	Da
1988	O00165	ENSG00000143575	HAX1	Known mitochondrial	Da
1989	O00165	ENSG00000143575	HAX1	Known mitochondrial	Da
1990	O00165	ENSG00000143575	HAX1	Known mitochondrial	Da
1991	O00165	ENSG00000143575	HAX1	Known mitochondrial	Da
1992	O00198	ENSG00000135116	HRK	Predicted mitochondrial	Da
1993	O00217	ENSG00000110717	NDUFS8	Known mitochondrial	Da
1994	O00299	ENSG00000213719	CLIC1	Predicted mitochondrial	Da
1995	O00330	ENSG00000110435	PDHX	Known mitochondrial	Da
1996	O00330	ENSG00000110435	PDHX	Known mitochondrial	Da
1997	O00330	ENSG00000110435	PDHX	Known mitochondrial	Da
1998	O00408	ENSG00000186642	PDE2A	Known mitochondrial	Da
1999	O00408	ENSG00000186642	PDE2A	Known mitochondrial	Da
2000	O00408	ENSG00000186642	PDE2A	Known mitochondrial	Da
2001	O00408	ENSG00000186642	PDE2A	Known mitochondrial	Da
2002	O00408	ENSG00000186642	PDE2A	Known mitochondrial	Da
2003	O00408	ENSG00000186642	PDE2A	Known mitochondrial	Da
2004	O00411	ENSG00000099821	POLRMT	Known mitochondrial	Da
2005	O00429	ENSG00000087470	DNM1L	Known mitochondrial	Da
2006	O00429	ENSG00000087470	DNM1L	Known mitochondrial	Da
2007	O00429	ENSG00000087470	DNM1L	Known mitochondrial	Da
2008	O00429	ENSG00000087470	DNM1L	Known mitochondrial	Da
2009	O00429	ENSG00000087470	DNM1L	Known mitochondrial	Da
2010	O00429	ENSG00000087470	DNM1L	Known mitochondrial	Da
2011	O00429	ENSG00000087470	DNM1L	Known mitochondrial	Da
2012	O00429	ENSG00000087470	DNM1L	Known mitochondrial	Da
2013	O00483	ENSG00000189043	NDUFA4	Known mitochondrial	Da
2014	O00519	ENSG00000117480	FAAH	Predicted mitochondrial	Da
2015	O00746	ENSG00000103202	NME4	Known mitochondrial	Da
2016	O00746	ENSG00000103202	NME4	Known mitochondrial	Da
2017	O00763	ENSG00000076555	ACACB	Known mitochondrial	Da
2018	O00763	ENSG00000076555	ACACB	Known mitochondrial	Da
2019	O00763	ENSG00000076555	ACACB	Known mitochondrial	Da
2020	O14521	ENSG00000204370	SDHD	Known mitochondrial	Da
2021	O14521	ENSG00000204370	SDHD	Known mitochondrial	Da
2022	O14521	ENSG00000204370	SDHD	Known mitochondrial	Da
2023	O14521	ENSG00000204370	SDHD	Known mitochondrial	Da
2024	O14531	ENSG00000151640	DPYSL4	Predicted mitochondrial	Da
2025	O14548	ENSG00000115944	COX7A2L	Known mitochondrial	Da
2026	O14561	ENSG00000004779	NDUFAB1	Known mitochondrial	Da
2027	O14618	ENSG00000173992	CCS	Known mitochondrial	Da
2028	O14734	ENSG00000101473	ACOT8	Predicted mitochondrial	Da
2029	O14735	ENSG00000103502	CDIPT	Predicted mitochondrial	Da
2030	O14735	ENSG00000103502	CDIPT	Predicted mitochondrial	Da
2031	O14735	ENSG00000103502	CDIPT	Predicted mitochondrial	Da
2032	O14746	ENSG00000164362	TERT	Known mitochondrial	Da
2033	O14746	ENSG00000164362	TERT	Known mitochondrial	Da
2034	O14746	ENSG00000164362	TERT	Known mitochondrial	Da
2035	O14746	ENSG00000164362	TERT	Known mitochondrial	Da
2036	O14773	ENSG00000166340	TPP1	Predicted mitochondrial	Da
2037	O14773	ENSG00000166340	TPP1	Predicted mitochondrial	Da
2038	O14874	ENSG00000103507	BCKDK	Known mitochondrial	Da
2039	O14874	ENSG00000103507	BCKDK	Known mitochondrial	Da
2040	O14874	ENSG00000103507	BCKDK	Known mitochondrial	Da
2041	O14879	ENSG00000119917	IFIT3	Predicted mitochondrial	Da
2042	O14880	ENSG00000143198	MGST3	Known mitochondrial	Da
2043	O14925	ENSG00000265354	TIMM23	Known mitochondrial	Da
2044	O14949	ENSG00000164405	UQCRQ	Known mitochondrial	Da
2045	O14957	ENSG00000127540	UQCR11	Known mitochondrial	Da
2046	O14975	ENSG00000140284	SLC27A2	Predicted mitochondrial	Da
2047	O14975	ENSG00000140284	SLC27A2	Predicted mitochondrial	Da
2048	O15079	ENSG00000101298	SNPH	Predicted mitochondrial	Da
2049	O15079	ENSG00000101298	SNPH	Predicted mitochondrial	Da
2050	O15091	ENSG00000100890	KIAA0391	Known mitochondrial	Da
2051	O15091	ENSG00000100890	KIAA0391	Known mitochondrial	Da
2052	O15091	ENSG00000100890	KIAA0391	Known mitochondrial	Da
2053	O15091	ENSG00000100890	KIAA0391	Known mitochondrial	Da
2054	O15173	ENSG00000164040	PGRMC2	Predicted mitochondrial	Da
2055	O15173	ENSG00000164040	PGRMC2	Predicted mitochondrial	Da
2056	O15217	ENSG00000170899	GSTA4	Predicted mitochondrial	Da
2057	O15217	ENSG00000170899	GSTA4	Predicted mitochondrial	Da
2058	O15229	ENSG00000117009	KMO	Predicted mitochondrial	Da
2059	O15229	ENSG00000117009	KMO	Predicted mitochondrial	Da
2060	O15229	ENSG00000117009	KMO	Predicted mitochondrial	Da
2061	O15235	ENSG00000128626	MRPS12	Known mitochondrial	Da
2062	O15239	ENSG00000125356	NDUFA1	Known mitochondrial	Da
2063	O15270	ENSG00000100596	SPTLC2	Predicted mitochondrial	Da
2064	O15287	ENSG00000221829	FANCG	Known mitochondrial	Da
2065	O15294	ENSG00000147162	OGT	Known mitochondrial	Da
2066	O15294	ENSG00000147162	OGT	Known mitochondrial	Da
2067	O15294	ENSG00000147162	OGT	Known mitochondrial	Da
