Protein	Gene.ID	Gene	Status	CAFA
A0A024QZP7	ENSG00000170312	CDK1	Known mitochondrial	NA
A0A024R3B9	ENSG00000109846	CRYAB	Predicted mitochondrial	NA
A0A024RBT2	ENSG00000184047	DIABLO	Known mitochondrial	NA
A0A075B6P0	ENSG00000156170	NDUFAF6	Known mitochondrial	NA
A0A075B6Q7	ENSG00000162946	DISC1	Known mitochondrial	NA
A0A075B6T1	ENSG00000110497	AMBRA1	Predicted mitochondrial	NA
A0A075B746	ENSG00000266472	MRPS21	Known mitochondrial	NA
A0A087WSV8	ENSG00000070081	NUCB2	Known mitochondrial	NA
A0A087WT12	ENSG00000167468	GPX4	Known mitochondrial	NA
A0A087WT18	ENSG00000122203	KIAA1191	Predicted mitochondrial	NA
A0A087WT64	ENSG00000143384	MCL1	Predicted mitochondrial	NA
A0A087WT90	ENSG00000259494	MRPL46	Known mitochondrial	NA
A0A087WT95	ENSG00000119673	ACOT2	Known mitochondrial	NA
A0A087WTF2	ENSG00000173660	UQCRH	Known mitochondrial	NA
A0A087WTI3	ENSG00000115286	NDUFS7	Known mitochondrial	NA
A0A087WTL4	ENSG00000099968	BCL2L13	Predicted mitochondrial	NA
A0A087WTP1	ENSG00000197912	SPG7	Known mitochondrial	NA
A0A087WTP2	ENSG00000160752	FDPS	Predicted mitochondrial	NA
A0A087WTR4	ENSG00000183549	ACSM5	Known mitochondrial	NA
A0A087WTS3	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
A0A087WTV6	ENSG00000143811	PYCR2	Known mitochondrial	NA
A0A087WU07	ENSG00000173436	MINOS1	Known mitochondrial	NA
A0A087WU62	ENSG00000278845	MRPL45	Known mitochondrial	NA
A0A087WU95	ENSG00000144369	FAM171B	Predicted mitochondrial	NA
A0A087WUA6	ENSG00000250067	YJEFN3	Predicted mitochondrial	NA
A0A087WUC6	ENSG00000118363	SPCS2	Predicted mitochondrial	NA
A0A087WUE1	ENSG00000170921	TANC2	Predicted mitochondrial	NA
A0A087WUN7	ENSG00000119705	SLIRP	Known mitochondrial	NA
A0A087WUP3	ENSG00000163607	GTPBP8	Predicted mitochondrial	NA
A0A087WUQ6	ENSG00000233276	GPX1	Known mitochondrial	NA
A0A087WUV3	ENSG00000117481	NSUN4	Known mitochondrial	NA
A0A087WUV8	ENSG00000172270	BSG	Predicted mitochondrial	NA
