"Gene.ID"	"Symbol"	"Homologs"	"Description"	"Category"	"Score"	"Evidence"	"Notes"	"adipose.tissue"	"adrenal.gland"	"appendix"	"bone.marrow"	"breast"	"cerebral.cortex"	"cervix..uterine"	"colon"	"duodenum"	"endometrium"	"epididymis"	"esophagus"	"fallopian.tube"	"gallbladder"	"heart.muscle"	"kidney"	"liver"	"lung"	"lymph.node"	"ovary"	"pancreas"	"parathyroid.gland"	"placenta"	"prostate"	"rectum"	"salivary.gland"	"seminal.vesicle"	"skeletal.muscle"	"skin"	"small.intestine"	"smooth.muscle"	"spleen"	"stomach"	"testis"	"thyroid.gland"	"tonsil"	"urinary.bladder"	"OMIM_ID"	"Dis_description"	"DomRec"	"WashU"	"DisCol"	"DomCol"	"GO_enzyme"	"pLI"
"ENSG00000002330"	"BAD"	"ENSG00000002330 ENSDARG00000054937 ENSMUSG00000024959 ENSRNOG00000021147 "	"BCL2-associated agonist of cell death"	"Known mitochondrial"	0.842434518	"MTS_Mean: 0.07666875 | HPA_Mitochondria: 1 | Comm_Mito_Ratio: 0.3 | "	"OMIM:603167"	31.1	33.6	19	14.8	22.8	49.1	34.2	30.7	28.7	27.1	15.6	14.3	41.4	24.2	25.9	24.7	12.9	31	16.9	21.6	6.5	34.9	32.8	37	17.4	20.8	41.2	10.7	28	27.9	20.5	25.4	42.2	31	26.5	13.1	17.1	NA	NA	NA	NA	"white"	"white"	NA	0.000414578843999332
"ENSG00000002549"	"LAP3"	"ENSG00000002549 ENSDARG00000061981 ENSMUSG00000039682 ENSRNOG00000003289 "	"leucine aminopeptidase 3"	"Known mitochondrial"	0.999999988	"PMID14651853_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15501831_Sum: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID21672642_liver_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 3 | MTS_Mean: 0.94625 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: -1.0 | Comm_Mito_Ratio: 0.636 | "	"APEX; PMID:23371551"	108.5	70.2	182	37.4	59.3	67.4	46.4	60.6	80.9	57.1	30.4	49.6	72.1	107	43.3	109.2	99	148.6	167.8	29.6	6.5	98.6	101	57.7	69.5	29.2	42.9	22.9	38.5	69.5	107.5	131.4	50.9	82.4	77.3	89.1	84.5	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	0.00122013401187321
"ENSG00000003509"	"NDUFAF7"	"ENSG00000003509 ENSDARG00000033134 ENSMUSG00000024082 ENSRNOG00000005279 "	"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7"	"Known mitochondrial"	1	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 9 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Kidney_Sum: 1 | MTS_Mean: 0.89549375 | hela_subcell_location_Mitochondrion: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.6 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.9 | "	"OMIM:615898"	6.1	12.9	7.3	3.9	7.4	8.2	9.8	5.8	4.8	10.8	9.5	5.2	6.3	9.4	9.6	9.7	5.4	7.2	8	6.2	1.1	10.6	8.4	8.3	6.5	1.9	7.4	6	4.6	6.2	10.6	7.2	4.4	68.6	6.9	5.4	6.6	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	1.17734908571096e-11
"ENSG00000004139"	"SARM1"	"ENSG00000004139 ENSDARG00000010610 ENSMUSG00000050132 ENSRNOG00000010244 "	"sterile alpha and TIR motif containing 1"	"Predicted mitochondrial"	0.853297975	"PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 2 | MS_Brain_Sum: 1 | MTS_Mean: 0.43794375 | HPA_NonMitochondria: 1 | "	""	2.2	4.5	4.7	0.8	1.9	7.1	1.8	2	7.7	5.2	5.9	1.4	5.8	2.4	0.8	2.6	1.2	2.9	2.3	2.7	0.6	7.6	2.6	5	3.8	1	5.2	0.5	2.7	5.5	5.7	4.6	2.5	1.9	4.8	2	2.7	NA	NA	NA	NA	"white"	"white"	NA	9.18622777225885e-09
"ENSG00000004142"	"POLDIP2"	"ENSG00000004142 ENSDARG00000092305 ENSMUSG00000001100 ENSRNOG00000009252 "	"polymerase (DNA-directed), delta interacting protein 2"	"Known mitochondrial"	1	"PMID14651853_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.74418125 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: 0.2 | Cluh_Enrichment: 1 | "	"OMIM:611519"	58.5	107.8	50.5	29.5	51.9	75.7	63.1	55.4	50.9	55.5	55	65.1	68	50.6	70.3	108.5	87	49.1	43.5	46.8	16.3	92.1	46.9	68.3	64.4	25.3	67	96.6	54.2	47.5	77.9	46.7	44.9	89.1	76.9	48.7	46.1	NA	NA	NA	NA	"white"	"white"	NA	0.0492454565267766
"ENSG00000004455"	"AK2"	"ENSG00000004455 ENSDARG00000005926 ENSMUSG00000028792 ENSRNOG00000000122 SPAC4G9.03 YDR226W "	"adenylate kinase 2"	"Known mitochondrial"	0.999999887	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 2 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID11840540_liver_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 5 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 8 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 6 | MTS_Mean: 0.03285 | hela_subcell_location_Mitochondrion: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: -0.4 | Comm_Mito_Ratio: 0.636 | "	"Characterised; Metabolic model; "	86.6	83.1	96.6	47	94.3	39.3	103.9	111	132.2	85	63.9	79.2	95.1	74	50	182	82.6	80.6	80.9	58.3	13.1	141.3	92.7	88	119.4	28.5	70.7	45.4	68.4	146.5	93	76.3	80.2	74.1	135.6	98.5	69.4	"267500"	"Reticular dysgenesis"	"R"	"MitoDis"	"black"	"green"	"catalytic activity"	0.00556558560437493
"ENSG00000004468"	"CD38"	"ENSG00000004468 ENSMUSG00000029084 ENSRNOG00000003069 "	"CD38 molecule"	"Known mitochondrial"	0.006169276	"PMID19567276_skeletal_muscle_0: 1 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.03660625 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -3 | Comm_Mito_Ratio: 0.231 | "	"Literature; PMID: 18775783"	3.4	3.4	18.1	9	2.3	24.8	0.8	4.4	5.9	1.5	1.5	1.2	4.8	2.9	0.9	0.7	1.7	9.4	27.3	0.8	0	0.3	0.7	22.2	3.9	1.2	27.3	7.2	0.3	5	1.9	23.6	2.6	2	2	17.1	12.5	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	7.65670798329562e-05
"ENSG00000004478"	"FKBP4"	"ENSG00000004478 ENSDARG00000008447 ENSMUSG00000030357 ENSRNOG00000006444 "	"FK506 binding protein 4, 59kDa"	"Known mitochondrial"	0.221473524	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID24708184_Sum: 1 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 2 | MTS_Mean: 0.02290625 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: -1.2 | Comm_Mito_Ratio: 0.312 | "	"Literature; PMID: 21730050"	21.6	41.9	30.9	14.9	65.9	60.6	42.8	35.7	21	49.8	55.3	48.4	61.5	39.1	15.4	50.2	21.1	24.2	23	41.2	9.7	69.5	71	72.9	42.4	21	62.7	19.1	46.6	28.6	58	21.3	30.2	107.6	73.8	28.3	32.3	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	0.927473130653813
"ENSG00000004779"	"NDUFAB1"	"ENSG00000004779 ENSDARG00000014915 ENSMUSG00000030869 ENSRNOG00000018129 SPAC4H3.09 YKL192C "	"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa"	"Known mitochondrial"	1	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID16615898_Sum: 1 | PMID16615899_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 6 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 7 | MTS_Mean: 0.7854625 | hela_subcell_location_Mitochondrion: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 1 | "	"Characterised; Metabolic model; "	76.6	98	62.5	33.3	75	102.4	56	97.8	96.2	56.3	53.4	44.9	75.7	43.9	183.8	102.6	59.4	49.1	53.8	36.8	11.2	99.9	60.6	76.8	88.3	26.4	72.7	135.5	42.9	90.9	65.1	51.1	58.3	62.6	67.2	50.2	46.2	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	0.755255332218331
"ENSG00000004799"	"PDK4"	"ENSG00000004799 ENSDARG00000054848 ENSMUSG00000019577 ENSRNOG00000009565 "	"pyruvate dehydrogenase kinase, isozyme 4"	"Known mitochondrial"	0.999999985	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 1 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID26450961_Sum: 13 | PMID12865426_liver_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 5 | MTS_Mean: 0.5850875 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 0.962 | "	"Characterised"	473.2	284.6	46.1	1.4	224	22.2	60.7	85	75.8	56.4	12.6	168.8	122.1	130.5	28.2	137.8	110.4	60.4	26.8	290	117.5	5.9	149.8	66.8	48.6	6.6	756.5	20.3	3.5	191.3	93.3	113.6	60.7	25.7	86.8	13	38.7	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	4.55196606471685e-06
