Protein	Gene.ID	Gene	Status	Guess	Alg
A6NJ78	ENSG00000169519	METTL15	Known mitochondrial	tp	FRENKI
A6NK06	ENSG00000102794	ACOD1	Predicted mitochondrial	tp	FRENKI
A6NK44	ENSG00000171433	GLOD5	Predicted mitochondrial	tp	FRENKI
A8K5M9	ENSG00000188277	C15orf62	Known mitochondrial	tp	FRENKI
O43149	ENSG00000074755	ZZEF1	Predicted mitochondrial	tp	FRENKI
P0DJ07	ENSG00000229833	PET100	Known mitochondrial	tp	FRENKI
P23919	ENSG00000168393	DTYMK	Predicted mitochondrial	tp	FRENKI
P30042	ENSG00000160221	C21orf33	Known mitochondrial	tp	FRENKI
Q02221	ENSG00000156885	COX6A2	Known mitochondrial	tp	FRENKI
Q08AH3	ENSG00000183747	ACSM2A	Known mitochondrial	tp	FRENKI
Q2TB90	ENSG00000156510	HKDC1	Predicted mitochondrial	tp	FRENKI
Q3MIT2	ENSG00000162927	PUS10	Predicted mitochondrial	tp	FRENKI
Q49AM1	ENSG00000120832	MTERF2	Known mitochondrial	tp	FRENKI
Q4LEZ3	ENSG00000205002	AARD	Predicted mitochondrial	tp	FRENKI
Q5SXM8	ENSG00000213221	DNLZ	Known mitochondrial	tp	FRENKI
Q5VT66	ENSG00000186205	Mar-01	Known mitochondrial	tp	FRENKI
Q5VUE5	ENSG00000203724	C1orf53	Predicted mitochondrial	tp	FRENKI
Q6ICG6	ENSG00000100364	KIAA0930	Predicted mitochondrial	tp	FRENKI
Q6P2I3	ENSG00000144199	FAHD2B	Known mitochondrial	tp	FRENKI
Q6P995	ENSG00000144369	FAM171B	Predicted mitochondrial	tp	FRENKI
Q6PIV7	ENSG00000162461	SLC25A34	Known mitochondrial	tp	FRENKI
Q6ZVX9	ENSG00000188582	PAQR9	Predicted mitochondrial	tp	FRENKI
Q76B58	ENSG00000162670	BRINP3	Known mitochondrial	tp	FRENKI
Q7L311	ENSG00000184867	ARMCX2	Predicted mitochondrial	tp	FRENKI
Q7L5Y1	ENSG00000132199	ENOSF1	Known mitochondrial	tp	FRENKI
Q7Z3V4	ENSG00000151148	UBE3B	Predicted mitochondrial	tp	FRENKI
Q8IUF1	ENSG00000136682	CBWD2	Predicted mitochondrial	tp	FRENKI
Q8N413	ENSG00000162241	SLC25A45	Known mitochondrial	tp	FRENKI
Q8N8R3	ENSG00000197119	SLC25A29	Known mitochondrial	tp	FRENKI
Q8NA23	ENSG00000148225	WDR31	Predicted mitochondrial	tp	FRENKI
Q8WUT9	ENSG00000077713	SLC25A43	Known mitochondrial	tp	FRENKI
Q8WV93	ENSG00000135537	AFG1L	Known mitochondrial	tp	FRENKI
Q8WWV3	ENSG00000130347	RTN4IP1	Known mitochondrial	tp	FRENKI
Q96BW9	ENSG00000144559	TAMM41	Known mitochondrial	tp	FRENKI
Q96DX5	ENSG00000102048	ASB9	Known mitochondrial	tp	FRENKI
Q96GE9	ENSG00000137038	TMEM261	Predicted mitochondrial	tp	FRENKI
Q96HJ9	ENSG00000164898	FMC1	Known mitochondrial	tp	FRENKI
Q96LU5	ENSG00000148950	IMMP1L	Known mitochondrial	tp	FRENKI
Q96NH3	ENSG00000146350	TBC1D32	Predicted mitochondrial	tp	FRENKI
Q9BQD7	ENSG00000103254	FAM173A	Predicted mitochondrial	tp	FRENKI
Q9BRR3	ENSG00000165152	TMEM246	Predicted mitochondrial	tp	FRENKI
Q9BS92	ENSG00000165028	NIPSNAP3B	Predicted mitochondrial	tp	FRENKI
Q9BUE6	ENSG00000135070	ISCA1	Known mitochondrial	tp	FRENKI
Q9BXW7	ENSG00000069998	HDHD5	Known mitochondrial	tp	FRENKI
Q9HBL7	ENSG00000107020	PLGRKT	Known mitochondrial	tp	FRENKI
Q9NYZ2	ENSG00000147454	SLC25A37	Known mitochondrial	tp	FRENKI
Q9UH62	ENSG00000102401	ARMCX3	Predicted mitochondrial	tp	FRENKI
A0A024QZP7	ENSG00000170312	CDK1	Known mitochondrial	fn	FRENKI
A0A024R3B9	ENSG00000109846	CRYAB	Predicted mitochondrial	fn	FRENKI
A0A024RBT2	ENSG00000184047	DIABLO	Known mitochondrial	fn	FRENKI
A0A075B6P0	ENSG00000156170	NDUFAF6	Known mitochondrial	fn	FRENKI
A0A075B6Q7	ENSG00000162946	DISC1	Known mitochondrial	fn	FRENKI
A0A075B6T1	ENSG00000110497	AMBRA1	Predicted mitochondrial	fn	FRENKI
A0A075B746	ENSG00000266472	MRPS21	Known mitochondrial	fn	FRENKI
A0A087WSV8	ENSG00000070081	NUCB2	Known mitochondrial	fn	FRENKI
A0A087WT12	ENSG00000167468	GPX4	Known mitochondrial	fn	FRENKI
A0A087WT18	ENSG00000122203	KIAA1191	Predicted mitochondrial	fn	FRENKI
A0A087WT64	ENSG00000143384	MCL1	Predicted mitochondrial	fn	FRENKI
A0A087WT90	ENSG00000259494	MRPL46	Known mitochondrial	fn	FRENKI
A0A087WT95	ENSG00000119673	ACOT2	Known mitochondrial	fn	FRENKI
A0A087WTF2	ENSG00000173660	UQCRH	Known mitochondrial	fn	FRENKI
A0A087WTI3	ENSG00000115286	NDUFS7	Known mitochondrial	fn	FRENKI
A0A087WTL4	ENSG00000099968	BCL2L13	Predicted mitochondrial	fn	FRENKI
A0A087WTP1	ENSG00000197912	SPG7	Known mitochondrial	fn	FRENKI
A0A087WTP2	ENSG00000160752	FDPS	Predicted mitochondrial	fn	FRENKI
A0A087WTR4	ENSG00000183549	ACSM5	Known mitochondrial	fn	FRENKI
A0A087WTS3	ENSG00000188343	FAM92A	Predicted mitochondrial	fn	FRENKI
A0A087WTV6	ENSG00000143811	PYCR2	Known mitochondrial	fn	FRENKI
A0A087WU07	ENSG00000173436	MINOS1	Known mitochondrial	fn	FRENKI
A0A087WU62	ENSG00000278845	MRPL45	Known mitochondrial	fn	FRENKI
A0A087WU95	ENSG00000144369	FAM171B	Predicted mitochondrial	fn	FRENKI
A0A087WUA6	ENSG00000250067	YJEFN3	Predicted mitochondrial	fn	FRENKI
A0A087WUC6	ENSG00000118363	SPCS2	Predicted mitochondrial	fn	FRENKI
A0A087WUE1	ENSG00000170921	TANC2	Predicted mitochondrial	fn	FRENKI
A0A087WUN7	ENSG00000119705	SLIRP	Known mitochondrial	fn	FRENKI
A0A087WUP3	ENSG00000163607	GTPBP8	Predicted mitochondrial	fn	FRENKI
A0A087WUQ6	ENSG00000233276	GPX1	Known mitochondrial	fn	FRENKI
A0A087WUV3	ENSG00000117481	NSUN4	Known mitochondrial	fn	FRENKI
A0A087WUV8	ENSG00000172270	BSG	Predicted mitochondrial	fn	FRENKI
A0A087WUX3	ENSG00000188738	FSIP2	Predicted mitochondrial	fn	FRENKI
A0A087WUX8	ENSG00000155008	APOOL	Known mitochondrial	fn	FRENKI
