UniProt	Predikcija
Q13423	GO:0005739
Q53R41	GO:0005739
Q6IMN6	GO:0005739
Q9NZJ6	GO:0005739
Q9NZJ4	GO:0005739
Q9NZI6	GO:0005739
Q9BWM7	GO:0005739
Q9P0W8	GO:0005739
Q9H2W6	GO:0005739
Q70HW3	GO:0005739
Q9BWH2	GO:0005739
P61221	GO:0005739
O15498	GO:0005739
Q9NYY8	GO:0005739
O14874	GO:0005739
O15446	GO:0005739
P04181	GO:0005739
P04179	GO:0005739
O15417	GO:0005739
Q9NZ45	GO:0005739
Q96TC7	GO:0005739
Q53S33	GO:0005739
Q9NYJ1	GO:0005739
Q9BVS5	GO:0005739
Q9HCN4	GO:0005739
Q9HCM9	GO:0005739
P51553	GO:0005739
Q8IWL3	GO:0005739
P51530	GO:0005739
P31040	GO:0005739
Q15070	GO:0005739
Q8IWA4	GO:0005739
Q86WG3	GO:0005739
Q15046	GO:0005739
O00198	GO:0005739
P41247	GO:0005739
P0CG47	GO:0005739
O00165	GO:0005739
P36551	GO:0005739
Q9HC36	GO:0005739
Q9HAC7	GO:0005739
P14735	GO:0005739
Q8TAE8	GO:0005739
Q8TAA5	GO:0005739
Q9BZE1	GO:0005739
O60260	GO:0005739
A0A087X1C5	GO:0005739
Q6NUK1	GO:0005739
P18859	GO:0005739
Q13686	GO:0005739
Q5SXM8	GO:0005739
Q13637	GO:0005739
Q6SZW1	GO:0005739
P83111	GO:0005739
A1L188	GO:0005739
Q9BYV1	GO:0005739
Q5T9A4	GO:0005739
Q03393	GO:0005739
P14618	GO:0005739
O00116	GO:0005739
Q8IVS2	GO:0005739
Q8TC76	GO:0005739
Q92552	GO:0005739
P04637	GO:0005739
Q92523	GO:0005739
Q9HBH1	GO:0005739
Q86VP3	GO:0005739
Q8IVG9	GO:0005739
Q86VD7	GO:0005739
P56962	GO:0005739
P61604	GO:0005739
Q6DKK2	GO:0005739
Q9HAV7	GO:0005739
Q8IUX1	GO:0005739
Q13794	GO:0005739
P09669	GO:0005739
Q96T66	GO:0005739
Q68CZ6	GO:0005739
P09622	GO:0005739
P27105	GO:0005739
P24539	GO:0005739
Q13268	GO:0005739
Q01860	GO:0005739
Q13227	GO:0005739
Q01831	GO:0005739
P46199	GO:0005739
Q6PI48	GO:0005739
Q9BV79	GO:0005739
Q9BUT1	GO:0005739
Q9BUR5	GO:0005739
Q9BYG8	GO:0005739
P09912	GO:0005739
Q9BYD6	GO:0005739
Q9BYD2	GO:0005739
Q9BYC9	GO:0005739
Q9BYC2	GO:0005739
Q13546	GO:0005739
Q9P015	GO:0005739
Q9P035	GO:0005739
Q9BXM7	GO:0005739
P09874	GO:0005739
Q5T890	GO:0005739
Q12931	GO:0005739
P15104	GO:0005739
P30084	GO:0005739
P45880	GO:0005739
Q12906	GO:0005739
P30048	GO:0005739
P30044	GO:0005739
P45844	GO:0005739
P56134	GO:0005739
Q63ZY3	GO:0005739
Q9NSK7	GO:0005739
Q9BQ95	GO:0005739
P21980	GO:0005739
P36776	GO:0005739
P21953	GO:0005739
O75362	GO:0005739
P21912	GO:0005739
Q8N357	GO:0005739
Q96BY2	GO:0005739
Q8IW03	GO:0005739
Q9Y399	GO:0005739
Q7L8L6	GO:0005739
Q92581	GO:0005739
Q8N2F6	GO:0005739
Q9HC96	GO:0005739
Q00325	GO:0005739
Q96B49	GO:0005739
Q07021	GO:0005739
P53701	GO:0005739
Q02218	GO:0005739
P23786	GO:0005739
O14561	GO:0005739
Q9NX14	GO:0005739
Q9NX18	GO:0005739
O14548	GO:0005739
Q9NWS8	GO:0005739
Q9NWT8	GO:0005739
Q8N9F0	GO:0005739
Q9NX63	GO:0005739
Q9GZT6	GO:0005739
Q9UKN8	GO:0005739
Q53T59	GO:0005739
Q9BV35	GO:0005739
Q9P2R7	GO:0005739
