qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
tr|A0A024QZP7|A0A024QZP7_HUMAN	MF	0004674	protein serine/threonine kinase activity	6.00926787642	0.660640493635	1
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0097125	cyclin B1-CDK1 complex	5.25851889901	0.637664809385	1
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	1905448	positive regulation of mitochondrial ATP synthesis coupled electron transport	5.05325734366	0.631101634044	1
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0006468	protein phosphorylation	5.00410437988	0.6295103028	2
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0072686	mitotic spindle	3.54872641125	0.57822868383	3
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0030496	midbody	3.53147049928	0.577562847957	4
tr|A0A024QZP7|A0A024QZP7_HUMAN	MF	0097472	cyclin-dependent protein kinase activity	4.52594327622	0.613602319723	5
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0005876	spindle microtubule	3.37544585288	0.571467051815	5
tr|A0A024QZP7|A0A024QZP7_HUMAN	MF	0035173	histone kinase activity	4.16363007423	0.600980237951	7
tr|A0A024QZP7|A0A024QZP7_HUMAN	MF	0030544	Hsp70 protein binding	3.76726597911	0.586525157373	9
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0005813	centrosome	3.01464181801	0.556806751268	9
tr|A0A024QZP7|A0A024QZP7_HUMAN	MF	0030332	cyclin binding	3.45942928458	0.57476533651	11
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0005759	mitochondrial matrix	2.60051732817	0.538851256351	11
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0010971	positive regulation of G2/M transition of mitotic cell cycle	3.98395681985	0.594517047447	13
tr|A0A024QZP7|A0A024QZP7_HUMAN	MF	0005524	ATP binding	2.79705234928	0.547538148902	13
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0034501	protein localization to kinetochore	3.86095113747	0.590007881541	14
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0007095	mitotic G2 DNA damage checkpoint	3.76273249418	0.586355533736	18
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	1900182	positive regulation of protein localization to nucleus	3.75982192805	0.586246578921	19
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0005829	cytosol	1.96962085789	0.508478299462	21
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0018210	peptidyl-threonine modification	3.65105101497	0.582144146795	23
tr|A0A024QZP7|A0A024QZP7_HUMAN	MF	0003682	chromatin binding	2.51276617835	0.534866787024	23
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0005634	nucleus	1.4413547448	0.479021942792	26
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0018209	peptidyl-serine modification	3.43684125012	0.573882208829	32
tr|A0A024QZP7|A0A024QZP7_HUMAN	MF	0104005	hijacked molecular function	0.180176608137	0.366333356524	35
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0044772	mitotic cell cycle phase transition	3.31938057618	0.5692423094	39
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0030855	epithelial cell differentiation	3.07149189384	0.55917276172	47
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0070062	extracellular exosome	0.140297839553	0.359086624856	48
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0043066	negative regulation of apoptotic process	2.91920312305	0.55278401039	52
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0000781	chromosome, telomeric region	0.118455700598	0.354674056008	52
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0005789	endoplasmic reticulum membrane	0.0866282515508	0.347436247994	58
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0008283	cell proliferation	2.80843861815	0.54803192089	62
tr|A0A024QZP7|A0A024QZP7_HUMAN	CC	0016021	integral component of membrane	0.0083684867587	0.317982813748	71
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0016570	histone modification	2.64858071013	0.541005169336	74
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0051445	regulation of meiotic cell cycle	1.34159195065	0.472880964319	121
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0000226	microtubule cytoskeleton organization	1.02319142357	0.451574047097	126
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0090166	Golgi disassembly	0.976640506591	0.448194079551	128
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0006281	DNA repair	0.579725134379	0.415254819873	150
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0006915	apoptotic process	0.557132644135	0.413079194597	152
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0055015	ventricular cardiac muscle cell development	0.538219330584	0.411223704759	156
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0033158	regulation of protein import into nucleus, translocation	0.53115412083	0.410522226284	157
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0060045	positive regulation of cardiac muscle cell proliferation	0.520529384789	0.409458492929	159
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0014075	response to amine	0.520014087144	0.409406627297	160
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0051301	cell division	0.512067742892	0.40860353558	162
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0031100	animal organ regeneration	0.509070655191	0.408299020199	163
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0014823	response to activity	0.506334139056	0.408020196027	165
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0048678	response to axon injury	0.49527286231	0.406885407799	167
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	1904591	positive regulation of protein import	0.46984839045	0.404228048357	175
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0045740	positive regulation of DNA replication	0.468176948477	0.404050859744	176
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0070301	cellular response to hydrogen peroxide	0.459766617423	0.403154446247	182
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0045471	response to ethanol	0.453207115999	0.402449597211	185
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0044839	cell cycle G2/M phase transition	0.446014564587	0.401670835336	188
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0046824	positive regulation of nucleocytoplasmic transport	0.434757646015	0.400439296223	194
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0046686	response to cadmium ion	0.428412916639	0.399738132652	196
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0090316	positive regulation of intracellular protein transport	0.421328795675	0.398949094703	199
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0007569	cell aging	0.401868108697	0.396746734925	208
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0046688	response to copper ion	0.389937866339	0.395370147422	217
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0010468	regulation of gene expression	0.337218286586	0.389018364695	236
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0014070	response to organic cyclic compound	0.323296724415	0.387259540773	241
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0030261	chromosome condensation	0.317470861449	0.386512290463	244
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0045995	regulation of embryonic development	0.263982983539	0.379302706394	260
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0034605	cellular response to heat	0.238992773674	0.375683760164	270
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0014038	regulation of Schwann cell differentiation	0.237757569821	0.375500087252	271
tr|A0A024QZP7|A0A024QZP7_HUMAN	BP	0007077	mitotic nuclear envelope disassembly	0.222845855295	0.373243913523	274
